episode_reward,episode_success,episode_length,episode_terminated,num_trajectories,scenario_total_flow_vph,scenario_cav_penetration,scenario_cav_flow_vph,scenario_hdv_flow_vph,avg_speed,avg_jerk,total_fuel_mL,tet_seconds,tet_rate,trip50_avg_time_s,trip50_avg_stop_time_s,trip50_avg_speed_mps,trip50_num_completed,trip50_hdv_avg_time_s,trip50_hdv_avg_stop_time_s,trip50_hdv_avg_speed_mps,trip50_hdv_num_completed,trip50_mix_avg_time_s,trip50_mix_avg_stop_time_s,trip50_mix_avg_speed_mps,trip50_mix_num_completed,r_speed_mean,r_accel_mean,r_jerk_mean,r_safety_mean,r_lc_mean,r_idle_mean,r_energy_mean,r_terminal_mean,num_terminals,step,episode,elapsed_time,steps_per_second,dqn_loss,dqn_q_mean,dqn_target_mean,dqn_epsilon,dqn_loss_mean,dqn_loss_std,dqn_loss_slope,dqn_q_mean_mean,dqn_q_mean_std,dqn_q_mean_slope,dqn_target_mean_mean,dqn_target_mean_std,dqn_target_mean_slope,dqn_epsilon_mean,dqn_epsilon_std,dqn_epsilon_slope
-5672.595308709145,0.0,1500.0,0.0,54.0,1942.0,0.9054173266933417,1758.0,184.0,1.835982033223921,8.945714811841087,1831.8628877909994,23.0,0.015484044701763835,185.675,144.075,3.563288550620216,8.0,82.0,49.53333333333331,7.159223092001589,3.0,185.675,144.075,3.563288550620216,8.0,-0.011762204451823223,-0.022496242370650225,-0.06014823204755408,-0.001727959277647854,-0.05574969612777304,-0.4603338253168953,-0.003415482560482449,0.09934394462716069,5.0,1500.0,0.0,47.0140655040741,31.905345430507698,,,,,,,,,,,,,,,,
-3526.7385663986206,0.0,1500.0,0.0,28.0,2052.0,0.31864202907271094,653.0,1399.0,4.586501287587488,7.79382792706734,7674.557229428141,261.6,0.07672004223121591,74.12608695652173,34.99999999999999,6.610915456129002,46.0,62.02857142857143,23.65238095238095,7.060658647552217,42.0,74.12608695652173,34.99999999999999,6.610915456129002,46.0,-0.005842235916953587,-0.023827970019713544,-0.060875060591506346,-0.001157397238664192,-0.053362869198309924,-0.4459915611814346,-0.004206343347208663,0.19732591671040517,4.0,3000.0,1.0,69.27615714073181,43.3049424768989,,,,,,,,,,,,,,,,
-13876.395296096802,0.0,1500.0,0.0,28.0,2044.0,0.26312945593648973,537.0,1507.0,4.8924748571615515,6.421670288640292,8704.267601520918,343.40000000000003,0.08677414464042048,69.42807017543862,26.94385964912281,6.3884048314622035,57.0,69.42807017543862,26.94385964912281,6.3884048314622035,57.0,69.42807017543862,26.94385964912281,6.3884048314622035,57.0,-0.008696760461778315,-0.023574617363400517,-0.06138071224638753,-0.0012769139728488611,-0.05542500218397577,-0.45197431641478114,-0.0037866068870189722,0.0,0.0,4500.0,2.0,91.67387056350708,49.087051439402515,,,,,,,,,,,,,,,,
-3654.7188272476196,0.0,1500.0,0.0,42.0,2018.0,0.5101947975329254,1029.0,989.0,3.3395145529533306,9.324620908224853,5107.025172257357,141.6,0.0496981608872666,101.75714285714287,59.964285714285715,5.650709870823667,28.0,64.54545454545455,24.536363636363635,6.781386826312977,22.0,101.75714285714287,59.964285714285715,5.650709870823667,28.0,-0.007561148247266258,-0.02342308163191501,-0.060646179878133435,-0.0012801457937353649,-0.05537099169460603,-0.45085528848798195,-0.00393808402028176,0.11624023179712255,6.0,6000.0,3.0,122.31709742546082,49.052831748696114,,,,,,,,,,,,,,,,
-6274.57755279541,0.0,1500.0,0.0,45.0,2001.0,0.7771467107628444,1555.0,446.0,2.9550833116897857,9.926897267658237,1710.874386095542,27.8,0.026828797529434473,115.13333333333334,78.95555555555556,6.391200772492921,9.0,46.16,13.12,8.595422878522184,5.0,115.13333333333334,78.95555555555556,6.391200772492921,9.0,-0.0122456788139275,-0.022381892359970432,-0.06036669552267065,-0.0017141378899902498,-0.05542898092317523,-0.46483641395670655,-0.0033937167275377403,1.6806157471988157,4.0,7500.0,4.0,153.95828342437744,48.714494817577744,,,,,,,,,,,,,,,,
-12762.766607373953,0.0,1500.0,0.0,22.0,1933.0,0.35894378283200457,693.0,1240.0,7.0039162995125706,5.067035010941248,3153.247526808669,115.60000000000001,0.09537953795379538,48.47999999999999,17.264,9.03425281116062,25.0,48.47999999999999,17.264,9.03425281116062,25.0,48.47999999999999,17.264,9.03425281116062,25.0,-0.023138303107704553,-0.02453442737629791,-0.06113319903951124,-0.0012535826660991561,-0.05370323750063569,-0.4759830824228387,-0.002858608805060515,0.0,0.0,9000.0,5.0,177.19986605644226,50.79010611178053,0.017893359065055847,-3.079425096511841,-3.082043170928955,0.9857594966888428,0.010946296805826327,0.008109807341547008,-2.256509956294937e-06,-1.8946162853473798,0.8662613825571734,-0.0019916645370878327,-1.897721495350202,0.8613321511815465,-0.0019821505068794674,0.9928797499736151,0.004113619657559024,-9.499999777570097e-06
-21264.008123397827,0.0,1500.0,0.0,37.0,2084.0,0.8574924208726179,1787.0,297.0,9.629388402788978,3.9402517095430043,227.4901011573607,6.0,0.08522727272727272,35.199999999999996,6.4,9.78535451375436,2.0,35.199999999999996,6.4,9.78535451375436,2.0,35.199999999999996,6.4,9.78535451375436,2.0,-0.022725830049040774,-0.025306377714204895,-0.06185375745319624,-0.0016761154970128644,-0.05649382265228553,-0.476142657172418,-0.0028712523884582143,0.0,0.0,10500.0,6.0,207.90396809577942,50.50408655578304,0.027118925005197525,-2.5864601135253906,-2.601813554763794,0.9715095162391663,0.03660094742787381,0.013165355765847136,2.452879777127176e-05,-3.124364687760671,0.2947956813959622,0.0005572755051509935,-3.127778270403544,0.28855999092011425,0.0005527128476653311,0.9786297500133514,0.0041136197054157326,-9.499999888090953e-06
-20587.412307739258,0.0,1500.0,0.0,36.0,2016.0,0.9385491590041329,1892.0,124.0,2.814278873448282,3.52443250334646,333.9337800097735,8.8,0.036514522821576766,120.5,92.50000000000003,5.675442819163485,2.0,120.5,92.50000000000003,5.675442819163485,2.0,120.5,92.50000000000003,5.675442819163485,2.0,-0.02114242905858854,-0.02770487557866073,-0.06287066321510976,-0.0017965723186642005,-0.05861927330171905,-0.47510268562401264,-0.003234658699886001,0.0,0.0,12000.0,7.0,237.4020721912384,50.547157778527904,0.08279162645339966,-1.541375994682312,-1.623538613319397,0.957259476184845,0.06735876186688741,0.01710787352144382,2.672084526482935e-05,-2.009995825052261,0.4023472439480723,0.0008554034956453426,-2.015340272903442,0.39826902162809036,0.0008579546988261343,0.9643797500133514,0.004113619691467099,-9.499999855877158e-06
-14527.98212814331,0.0,1500.0,0.0,27.0,1926.0,0.3081354881787998,593.0,1333.0,6.7363279159924785,7.365687693428683,6198.976994554181,242.4,0.10921870775885374,50.440909090909095,13.277272727272736,8.061862218622407,44.0,50.440909090909095,13.277272727272736,8.061862218622407,44.0,50.440909090909095,13.277272727272736,8.061862218622407,44.0,-0.014830111792389617,-0.02954367204740995,-0.06413456155109973,-0.0012694360235343282,-0.0529170445221739,-0.4605087014725569,-0.00416539872466254,0.0,0.0,13500.0,8.0,263.6676757335663,51.20081542965329,0.16277627646923065,-0.691280722618103,-0.5647498965263367,0.9430094957351685,0.1544588674257199,0.04449742091099496,8.271748579834898e-05,-0.9574730318635702,0.3291102198341484,0.000550629729135789,-0.9592540283525983,0.31597971771344224,0.0005513293359872525,0.950129749973615,0.0041136196913294214,-9.499999855559235e-06
-11615.305995941162,0.0,1500.0,0.0,22.0,2033.0,0.2369136290712322,481.0,1552.0,5.670876415822057,5.474030889707653,6419.43674034757,299.0,0.11347248576850096,59.886363636363626,22.195454545454538,6.938910182786246,44.0,59.886363636363626,22.195454545454538,6.938910182786246,44.0,59.886363636363626,22.195454545454538,6.938910182786246,44.0,-0.013778094857016367,-0.03037766317927837,-0.06422355266463156,-0.0012073700867119553,-0.051567869415815606,-0.4582259450171821,-0.004293582245250013,0.0,0.0,15000.0,9.0,287.39348316192627,52.19325029561836,0.45822641253471375,-0.8052786588668823,-0.9961040019989014,0.9287689924240112,0.29681140306591985,0.06981452287197315,0.00011070100314271837,-0.44825873247658216,0.30561814834195533,0.00015630939646774867,-0.4559360075816512,0.2851562913403551,0.00015299237953208373,0.9358892500003179,0.004113619750427611,-9.499999992040544e-06
