episode_reward,episode_success,episode_length,episode_terminated,num_trajectories,scenario_total_flow_vph,scenario_cav_penetration,scenario_cav_flow_vph,scenario_hdv_flow_vph,avg_speed,avg_jerk,total_fuel_mL,tet_seconds,tet_rate,trip50_avg_time_s,trip50_avg_stop_time_s,trip50_avg_speed_mps,trip50_num_completed,trip50_hdv_avg_time_s,trip50_hdv_avg_stop_time_s,trip50_hdv_avg_speed_mps,trip50_hdv_num_completed,trip50_mix_avg_time_s,trip50_mix_avg_stop_time_s,trip50_mix_avg_speed_mps,trip50_mix_num_completed,r_speed_mean,r_accel_mean,r_jerk_mean,r_safety_mean,r_lc_mean,r_idle_mean,r_energy_mean,r_terminal_mean,num_terminals,step,episode,elapsed_time,steps_per_second,critic_loss,actor_loss,alpha_loss,alpha_acc_loss,alpha_lane_loss,alpha,alpha_acc,alpha_lane,q_mean,logp_mean,logp_acc_mean,logp_lane_mean,lane_entropy_mean,attn_gate_mean_actor,attn_ego_weight_actor,attn_gate_mean_q1,attn_ego_weight_q1,critic_loss_mean,critic_loss_std,critic_loss_slope,actor_loss_mean,actor_loss_std,actor_loss_slope,alpha_loss_mean,alpha_loss_std,alpha_loss_slope,alpha_acc_loss_mean,alpha_acc_loss_std,alpha_acc_loss_slope,alpha_lane_loss_mean,alpha_lane_loss_std,alpha_lane_loss_slope,alpha_mean,alpha_std,alpha_slope,alpha_acc_mean,alpha_acc_std,alpha_acc_slope,alpha_lane_mean,alpha_lane_std,alpha_lane_slope,q_mean_mean,q_mean_std,q_mean_slope,logp_mean_mean,logp_mean_std,logp_mean_slope,logp_acc_mean_mean,logp_acc_mean_std,logp_acc_mean_slope,logp_lane_mean_mean,logp_lane_mean_std,logp_lane_mean_slope,lane_entropy_mean_mean,lane_entropy_mean_std,lane_entropy_mean_slope,attn_ego_weight_actor_mean,attn_ego_weight_actor_std,attn_ego_weight_actor_slope,attn_ego_weight_q1_mean,attn_ego_weight_q1_std,attn_ego_weight_q1_slope
-3735.4493896484373,0.0,1500.0,0.0,32.0,739.0,0.510639462230231,377.0,362.0,2.1342223072650985,4.133465365321527,4364.274117674319,117.60000000000001,0.043867502238137866,121.85454545454546,94.96363636363638,3.9892585004635834,22.0,95.37647058823529,70.41176470588235,4.77048611383584,17.0,121.85454545454546,94.96363636363638,3.9892585004635834,22.0,-0.006181724021382463,-0.021398983958098534,-0.04416025378505954,-0.0010597396401885784,-0.055909010911648176,-0.6890531502989493,-0.0041524969227187914,0.6491013161522499,5.0,1500.0,0.0,16.37255024909973,91.6167595871315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2478.490203678608,0.0,1500.0,0.0,18.0,739.0,0.2854509208243847,210.0,529.0,3.6893919647968114,5.616366767055848,6498.234774334349,225.60000000000002,0.07820299500831947,70.3609756097561,42.092682926829276,5.3641898738663,41.0,57.432432432432456,29.967567567567567,5.77864012663299,37.0,70.3609756097561,42.092682926829276,5.3641898738663,41.0,-0.0020092129052344727,-0.02621263889587012,-0.05894736379268308,-0.0007292158160586474,-0.05040569630734144,-0.6782579897335083,-0.004720262689215535,1.37199961018128,4.0,3000.0,1.0,22.670704126358032,132.32937024272036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2155.9231967926025,0.0,1500.0,0.0,8.0,739.0,0.1270842504292619,93.0,646.0,4.692981897228938,3.34307675266422,6649.048087299163,222.4,0.08935315387705905,55.31111111111111,32.62222222222223,7.0694913095023155,45.0,49.71627906976746,27.474418604651166,7.311540436270507,43.0,55.31111111111111,32.62222222222223,7.0694913095023155,45.0,0.0017850118050310884,-0.026342850361341756,-0.05740589037922618,-0.0007417811668126207,-0.04480994152046607,-0.6555555555556045,-0.005112781970663236,0.5475532664002152,2.0,4500.0,2.0,27.130675792694092,165.8639111824773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3633.3361231486,0.0,1500.0,0.0,51.0,739.0,0.8987504950151308,664.0,75.0,1.66964703970341,8.158715883768252,2544.181684934992,51.6,0.025453827940015786,155.93846153846155,123.04615384615386,3.556279268870943,13.0,93.25,63.7,7.395306506657874,4.0,155.93846153846155,123.04615384615386,3.556279268870943,13.0,-0.013843446738935108,-0.025326718304848592,-0.05852570729456614,-0.0019190971399159706,-0.05589435258748125,-0.7199914107790522,-0.0032660383899267937,4.367769981428227,9.0,6000.0,3.0,39.794405460357666,150.7749627262825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3195.5175414615205,0.0,1500.0,0.0,47.0,739.0,0.7745026313708422,572.0,167.0,1.8167336995760022,7.6976448416104075,2920.3464381640083,62.800000000000004,0.029258292955646664,143.0933333333333,112.14666666666666,3.7312651417804488,15.0,59.93333333333334,32.23333333333333,7.179880026924628,6.0,143.0933333333333,112.14666666666666,3.7312651417804488,15.0,-0.01293431336233892,-0.024970452562007826,-0.05660737583604445,-0.0016832862560081155,-0.05539989734607731,-0.7136741040423679,-0.0033667905057871094,1.1602494075681233,9.0,7500.0,4.0,51.53084444999695,145.54389861159055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-88.52617759089316,0.0,1500.0,0.0,33.0,739.0,0.5343479163247489,394.0,345.0,5.605512199984771,0.873972307798122,7043.594974010892,235.4,0.08773106738223017,46.26206896551727,26.889655172413793,8.295515229498722,58.0,43.76296296296296,25.074074074074066,8.879956946588239,27.0,46.26206896551727,26.889655172413793,8.295515229498722,58.0,0.14498008959620362,-0.020879523699454356,-0.004034490718644093,-0.006752557274284524,-0.03216713881019708,-0.5003966005666084,-0.027303227922361048,13.17276745643637,31.0,9000.0,5.0,70.20976781845093,128.1872918775673,0.8844788074493408,3.1282334327697754,-178.29653930664062,1.0385346412658691,-179.33506774902344,0.018143095076084137,0.018143095076084137,0.0,-3.1871960163116455,1.2123652696609497,1.2390066385269165,-0.02664150297641754,0.02664150297641754,,0.14802983403205872,,0.15332888066768646,4.153006033102671,4.358463744414085,-0.35438405459661804,2.1004096319278083,2.439996728695896,0.22741713444966505,-184.5691396077474,7.691448812251071,0.4781701755205477,2.56934206088384,0.603217079730676,-0.030276121711306704,-187.13848114013672,7.644401770614598,0.5084464746799852,0.014987732780476411,0.0018209130441319459,0.00021012774124758114,0.014987732780476411,0.0018209130441319459,0.00021012774124758114,0.0,0.0,0.0,-2.2761313120524087,2.4275655435463075,-0.22618374763526966,1.5175675670305888,0.1486985232459106,-0.0022247128014570195,1.5892796158790587,0.13778445093093758,-0.005168681759988145,-0.0717120299115777,0.04341023520585068,0.0029439683257704735,0.0717120299115777,0.04341023520585068,-0.0029439683257704735,0.1403221627076467,0.008033060147889431,0.0006645602630958909,0.1254539206624031,0.019677398705198603,0.002053212221127596
-92.71132254600525,0.0,1500.0,0.0,38.0,739.0,0.6125859199442003,452.0,287.0,5.40792594950299,1.2755187127704715,6960.789895598151,227.20000000000002,0.08175014392630973,47.91724137931037,27.62068965517242,7.743462967171033,58.0,43.72173913043477,24.85217391304348,9.03029729413879,23.0,47.91724137931037,27.62068965517242,7.743462967171033,58.0,0.13644250742842226,-0.027440235007889422,-0.008579648206867392,-0.006222623707529798,-0.012445025555687427,-0.49152502080118765,-0.02696366715644848,12.266985542449873,35.0,10500.0,6.0,89.20550799369812,117.70573629536158,1.7770106792449951,10.662323951721191,-181.1089630126953,1.4696738719940186,-182.57864379882812,0.025059716776013374,0.025059716776013374,0.0,-10.794023513793945,1.336309552192688,1.3786420822143555,-0.04233254864811897,0.04233254864811897,,0.18361079692840576,,0.2107621729373932,2.276354942719142,3.6882095671197206,-0.04682789958756549,7.911160469055176,2.012770543373531,0.18332362424279736,-179.41761423746746,1.7557871737824813,0.03184066619703865,1.4068568021059036,0.43759284097711615,-0.02664164784089877,-180.82447001139323,1.7032493337433026,0.05848224372567007,0.02178137730807066,0.0020532966228477252,0.00023712226302591876,0.02178137730807066,0.0020532966228477252,0.00023712226302591876,0.0,0.0,0.0,-8.028303623199463,1.9569864717096346,-0.17673640224639237,1.3122061769167581,0.10984793706286614,-0.005489392885244216,1.3459261616071065,0.10955606014729723,-0.005900493028829614,-0.03371997928867738,0.009786063544689498,0.0004111000031100243,0.03371997928867738,0.009786063544689498,-0.0004111000031100243,0.16313843379418055,0.007985397380693765,0.00020669735512292877,0.1695377434293429,0.013406671594722554,0.0008948783024532221
-47.3112689614296,0.0,1500.0,0.0,22.0,739.0,0.3442750489450046,254.0,485.0,5.674023206292455,1.4512848270423522,6595.910096338157,220.8,0.08317010697604339,45.772413793103446,23.575862068965513,8.260086610193113,58.0,45.23684210526315,25.93684210526316,8.317498371316214,38.0,45.772413793103446,23.575862068965513,8.260086610193113,58.0,0.14675162549062423,-0.022603032645844803,-0.017026586720626315,-0.0046666539022188714,-0.013491525423728945,-0.345129943502813,-0.020647680443247336,13.933783093008373,20.0,12000.0,7.0,107.21144390106201,111.9283498417759,1.0770328044891357,9.833187103271484,-181.95855712890625,0.07837232947349548,-182.03692626953125,0.030903177335858345,0.030903177335858345,0.0,-9.987471580505371,0.9658224582672119,1.0025402307510376,-0.036717742681503296,0.036717742681503296,,0.19217820465564728,,0.21619167923927307,4.056934603055319,10.504336013710368,-0.1269643474076031,11.179309272766114,1.2188650911239134,-0.02034445180245868,-181.52167053222655,2.3934094925607354,-0.1438678474129189,0.548231213291486,0.4154631315802997,-0.02055752401357236,-182.0699035644531,2.3059883554326737,-0.12331021556068698,0.02823117934167385,0.0016722942037151762,0.00019301814964668885,0.02823117934167385,0.0016722942037151762,0.00019301814964668885,0.0,0.0,0.0,-11.36728614171346,1.2236093757911597,0.021740126265037008,1.0946700870990753,0.11808944016315202,-0.00609038025969528,1.1328221837679544,0.11629741232274626,-0.005486807197299251,-0.03815209623426199,0.012569997457511212,-0.0006035723442727642,0.03815209623426199,0.012569997457511212,0.0006035723442727642,0.17559544891119003,0.010022652539941864,0.0006574262401816269,0.18925612519184748,0.013009232340804292,0.0008119252121886065
-48.908136508566265,0.0,1500.0,0.0,52.0,739.0,0.8332242835730762,615.0,124.0,5.430139421697267,2.0444589093919734,5597.616647013078,121.60000000000001,0.04464679101189602,47.78245614035089,20.515789473684208,7.735644169962386,57.0,40.959999999999994,20.139999999999997,9.243012284150918,10.0,47.78245614035089,20.515789473684208,7.735644169962386,57.0,0.13688752347930588,-0.016478844987514223,-0.012538594881995683,-0.004019144958220587,-0.004306827454891686,-0.35107444011246103,-0.01521040542860793,13.685130919273345,47.0,13500.0,8.0,126.75211930274963,106.50709490509595,1.476473093032837,14.876259803771973,-187.98291015625,0.023983322083950043,-188.00689697265625,0.0322016142308712,0.0322016142308712,0.0,-15.288825988769531,0.9195963740348816,0.9869807958602905,-0.06738442927598953,0.06738442927598953,,0.17893105745315552,,0.20850074291229248,1.5983860492706299,0.6371416040638391,0.0024645487644250792,12.696333726247152,1.2513715455506402,0.0549364119668688,-184.91004282633463,3.392247585688697,-0.29533200884554517,-0.015027274563908576,0.3111560078616924,-0.013207022750437338,-184.8950164794922,3.2859175735059685,-0.2821250363902549,0.0324655095115304,0.0005864421346998248,4.421702158265307e-05,0.0324655095115304,0.0005864421346998248,4.421702158265307e-05,0.0,0.0,0.0,-12.854475434621175,1.2402045195992415,-0.05511349454207175,0.9241350789864858,0.09752974787614242,-0.005328471363585316,0.9754490315914154,0.09082417110608268,-0.0038424986885970715,-0.051313962104419866,0.01777038275450122,-0.001485973437035972,0.051313962104419866,0.01777038275450122,0.001485973437035972,0.18962177783250808,0.011446899343086948,0.00017823215917962495,0.21484168072541554,0.014427962133860195,0.0005267953382052865
-39.196625888347626,0.0,1500.0,0.0,56.0,739.0,0.9104015386660778,672.0,67.0,5.496007065597771,2.3728007871502843,5349.909805522697,118.2,0.04315128504672897,47.22758620689654,18.844827586206897,7.919018246013084,58.0,40.166666666666664,22.033333333333335,10.05957585871881,6.0,47.22758620689654,18.844827586206897,7.919018246013084,58.0,0.14235850090085425,-0.014990155176383437,-0.013047801241532432,-0.003743068927736814,-0.004796203711549914,-0.32566731632915225,-0.013964730897560161,13.874008008574172,52.0,15000.0,9.0,146.43098068237305,102.43733894357274,1.6734366416931152,13.402750968933105,-186.11277770996094,-0.5803415775299072,-185.53244018554688,0.029542675241827965,0.029542675241827965,0.0,-13.576726913452148,0.7642430067062378,0.8152161836624146,-0.05097319185733795,0.05097319185733795,,0.19102492928504944,,0.23789924383163452,1.7869723399480184,0.7827497040481809,-0.013624013650404092,13.752780342102051,1.4114169607394715,0.02145088713479346,-189.5862070719401,2.8306661320341817,0.003704671042915361,-0.09728259307642778,0.32602563558246517,-0.00036602115157050605,-189.48892567952473,2.8727245591752273,0.004070573070556897,0.030813255657752354,0.0007266870516371488,-8.326965540614437e-05,0.030813255657752354,0.0007266870516371488,-8.326965540614437e-05,0.0,0.0,0.0,-13.867594337463379,1.4338556273116394,-0.018597445631186107,0.8777791937192281,0.09196550659267913,4.735579082245616e-05,0.9520302772521972,0.09351971926381486,-6.483155442559794e-05,-0.07425109259784221,0.01600844575965654,0.00011218810356631426,0.07425109259784221,0.01600844575965654,-0.00011218810356631426,0.19453399181365966,0.00966091382684077,-0.00010767619522315507,0.23126474022865295,0.012001826611827287,0.000412529461641065
