episode_reward,episode_success,episode_length,episode_terminated,num_trajectories,scenario_total_flow_vph,scenario_cav_penetration,scenario_cav_flow_vph,scenario_hdv_flow_vph,avg_speed,avg_jerk,total_fuel_mL,tet_seconds,tet_rate,trip50_avg_time_s,trip50_avg_stop_time_s,trip50_avg_speed_mps,trip50_num_completed,trip50_hdv_avg_time_s,trip50_hdv_avg_stop_time_s,trip50_hdv_avg_speed_mps,trip50_hdv_num_completed,trip50_mix_avg_time_s,trip50_mix_avg_stop_time_s,trip50_mix_avg_speed_mps,trip50_mix_num_completed,r_speed_mean,r_accel_mean,r_jerk_mean,r_safety_mean,r_lc_mean,r_idle_mean,r_energy_mean,r_terminal_mean,num_terminals,step,episode,elapsed_time,steps_per_second,critic_loss,actor_loss,alpha_loss,alpha_acc_loss,alpha_lane_loss,alpha,alpha_acc,alpha_lane,q_mean,logp_mean,logp_acc_mean,logp_lane_mean,lane_entropy_mean,attn_gate_mean_actor,attn_ego_weight_actor,attn_gate_mean_q1,attn_ego_weight_q1,critic_loss_mean,critic_loss_std,critic_loss_slope,actor_loss_mean,actor_loss_std,actor_loss_slope,alpha_loss_mean,alpha_loss_std,alpha_loss_slope,alpha_acc_loss_mean,alpha_acc_loss_std,alpha_acc_loss_slope,alpha_lane_loss_mean,alpha_lane_loss_std,alpha_lane_loss_slope,alpha_mean,alpha_std,alpha_slope,alpha_acc_mean,alpha_acc_std,alpha_acc_slope,alpha_lane_mean,alpha_lane_std,alpha_lane_slope,q_mean_mean,q_mean_std,q_mean_slope,logp_mean_mean,logp_mean_std,logp_mean_slope,logp_acc_mean_mean,logp_acc_mean_std,logp_acc_mean_slope,logp_lane_mean_mean,logp_lane_mean_std,logp_lane_mean_slope,lane_entropy_mean_mean,lane_entropy_mean_std,lane_entropy_mean_slope
-7629.401680469513,0.0,1500.0,0.0,51.0,1942.0,0.9054173266933417,1758.0,184.0,2.5166701691898656,9.409941246302138,1573.0713032823387,18.2,0.016795865633074936,135.45,94.50000000000001,4.852668093473616,8.0,76.06666666666666,45.933333333333344,8.079896966736243,3.0,135.45,94.50000000000001,4.852668093473616,8.0,-0.008226039850557707,-0.026145453118699417,-0.0606988035389431,-0.0018351129785287744,-0.055811317262733105,-0.7261185397672747,-0.0038279063281840883,1.397981731597229,5.0,1500.0,0.0,20.570257425308228,72.92081810091999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-5967.957394450903,0.0,1500.0,0.0,32.0,2052.0,0.31864202907271094,653.0,1399.0,3.4481483600980747,6.236438371506389,8883.405408756238,306.40000000000003,0.06092177993398815,98.6156862745098,58.01176470588235,5.528952276377528,51.0,90.59166666666665,50.475,5.7767978928362,48.0,98.6156862745098,58.01176470588235,5.528952276377528,51.0,-0.005452975035593775,-0.026324857168708637,-0.060401748618918116,-0.00109182298066725,-0.05455602383373528,-0.7153320738261465,-0.004198349180036753,0.3319165843399748,4.0,3000.0,1.0,32.48204970359802,92.35870357244393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-9735.578910827637,0.0,1500.0,0.0,27.0,2044.0,0.26312945593648973,537.0,1507.0,4.786258491115044,7.071370543742819,9466.00246648261,379.6,0.08761482712459032,71.02622950819674,29.518032786885247,6.348561724987733,61.0,64.31864406779663,23.071186440677966,6.520345384622296,59.0,71.02622950819674,29.518032786885247,6.348561724987733,61.0,-0.005966133892071437,-0.026608681815265416,-0.06151038613203666,-0.0012555989240313143,-0.053880344919548094,-0.7121344119474705,-0.00411789439310892,0.1320181100378211,2.0,4500.0,2.0,42.53644037246704,105.79164501298413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-15940.392742156982,0.0,1500.0,0.0,40.0,2018.0,0.5101947975329254,1029.0,989.0,3.181639258421684,6.6458159083023505,4358.337965315636,143.4,0.055919513336452974,106.84999999999998,63.99166666666665,5.164356020191771,24.0,90.96363636363635,48.309090909090905,5.522471095435408,22.0,106.84999999999998,63.99166666666665,5.164356020191771,24.0,-0.010291290555745222,-0.026325234731946853,-0.061103383113716214,-0.0015012821504445284,-0.055671508877366174,-0.7286469638778024,-0.003674171587208067,0.17821175611675555,2.0,6000.0,3.0,55.65470004081726,107.80760646629285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-7857.1436756134035,0.0,1500.0,0.0,49.0,2001.0,0.7771467107628444,1555.0,446.0,2.2879205523581487,8.621089236914903,2558.690303788742,46.400000000000006,0.025979843225083985,148.83333333333334,106.09999999999998,4.605693654431536,12.0,97.11428571428573,58.94285714285713,6.209702344275029,7.0,148.83333333333334,106.09999999999998,4.605693654431536,12.0,-0.011352402970991706,-0.025435819324470192,-0.05986136249556675,-0.0016409963426370613,-0.05649775234978959,-0.7337601598324336,-0.0035193318011450493,1.2601074479584686,5.0,7500.0,4.0,70.10293865203857,106.98552934031535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1722.5817858775456,0.0,1500.0,0.0,41.0,1933.0,0.35894378283200457,693.0,1240.0,3.178995120279666,8.776245575536345,10657.613070560488,348.20000000000005,0.0551997463538364,106.91525423728814,56.9728813559322,4.737891964309725,59.0,77.09361702127659,27.97021276595744,5.545668169948957,47.0,106.91525423728814,56.9728813559322,4.737891964309725,59.0,0.023762454056747595,-0.028921193797613952,-0.059901680242918816,-0.0021766585296369625,-0.05669979979627085,-0.5950194935194885,-0.007232932046319578,0.36286344211986593,12.0,9000.0,5.0,89.97660064697266,100.02600604252561,0.12347505986690521,-5.781952857971191,-1.1242220401763916,-0.531884491443634,-0.5923375487327576,0.7201100587844849,0.7201100587844849,0.7189759016036987,4.524191856384277,-1.7383105754852295,-0.6413203477859497,-1.0969902276992798,1.0969902276992798,,,,,0.1196437622110049,0.0423001504677229,-0.0023523698924513394,-4.56860925356547,0.8371115098266245,-0.09608606406393247,-0.38558899738127367,0.44617697274814727,-0.051547890368437786,-0.18398426837132623,0.21288374421955278,-0.02459367614625866,-0.20160472559509798,0.23330063082803654,-0.026954213683068703,0.9014263272285461,0.11651194147153715,-0.013437505107832988,0.9014263272285461,0.11651194147153715,-0.013437505107832988,0.9011631727218627,0.11678284192451102,-0.013469798785030403,2.9750255823135374,1.0397465327065822,0.11946401909010294,-1.7723090449968975,0.012615695349870766,0.0010113572119606214,-0.6746147672335306,0.012290362356359951,0.0009572506216132076,-1.0976942857106526,0.0005066698139434947,5.4106112979846764e-05,1.0976942857106526,0.0005066698139434947,-5.4106112979846764e-05
-178.55612733823443,0.0,1500.0,0.0,120.0,2084.0,0.8574924208726179,1787.0,297.0,4.19814726701145,5.911607300973133,18987.10747754252,437.40000000000003,0.04250233208955224,81.03307086614173,41.86299212598424,5.092609862844466,127.0,78.3263157894737,39.347368421052636,5.130844016161575,19.0,81.03307086614173,41.86299212598424,5.092609862844466,127.0,0.1370524620782605,-0.021626708860539325,-0.03561552168549837,-0.0027169836710684834,-0.059291555497681385,-0.4303767814145185,-0.018578216465469165,3.79798868466757,109.0,10500.0,6.0,113.00676774978638,92.91478916774743,0.5965604186058044,-7.202432632446289,-2.3652706146240234,-0.9650564789772034,-1.4002141952514648,0.46993693709373474,0.46993693709373474,0.45859387516975403,6.208008766174316,-1.3951884508132935,-0.2984064221382141,-1.0967819690704346,1.0967819690704346,,,,,0.3842996910214424,0.3973288533687792,0.010551869441590396,-7.156926552454631,0.6330242413807152,-0.06313124912334081,-1.8322516361872354,0.376479828318023,-0.0433741293706671,-0.8234709680080414,0.14582502734288244,-0.016520624603657615,-1.0087806860605875,0.23243071697662107,-0.026853506901903326,0.5801848957935969,0.07146161648932403,-0.008238187097468833,0.5801848957935969,0.07146161648932403,-0.008238187097468833,0.5747198591629664,0.07443276002042057,-0.008585097958169089,6.102705844243368,0.7345971194640694,0.07469851787681697,-1.6243686119715373,0.08274249597205698,0.008666780077177933,-0.5290972967942555,0.08222617675109255,0.008565318319237951,-1.0952712893486023,0.0016851726327815097,0.00010146137339388718,1.0952712893486023,0.0016851726327815097,-0.00010146137339388718
9.48982510745056,1.0,1500.0,0.0,127.0,2016.0,0.9385491590041329,1892.0,124.0,9.13694124132304,5.753147414388303,15211.625336265235,331.8,0.06552650288332412,37.23235294117646,9.898529411764711,10.11831535118426,136.0,37.17777777777778,9.800000000000004,9.99677008697801,9.0,37.23235294117646,9.898529411764711,10.11831535118426,136.0,0.38662704764604466,-0.02475905414902753,-0.0367108651945903,-0.005752305909986946,-0.050701421800953675,-0.2372322274881796,-0.042470692871580375,11.317304752486672,127.0,12000.0,7.0,128.64344573020935,93.2810834775552,0.8344531059265137,-11.219436645507812,-3.4275736808776855,-1.2230433225631714,-2.2045304775238037,0.31837794184684753,0.31837794184684753,0.2925834059715271,10.306488037109375,-1.1830477714538574,-0.08885756134986877,-1.094190239906311,1.094190239906311,,,,,0.9810052275657654,0.6705222710265314,0.020507229528119484,-9.88139394124349,1.1008057672965896,-0.10940346171513789,-2.9283969004948935,0.2718404215877505,-0.030680267802865376,-1.1172895669937133,0.06828603594999996,-0.004051380295376868,-1.811107341448466,0.23052383290388248,-0.026628889098713703,0.3859834541877111,0.043180892233261575,-0.004980816293478819,0.3859834541877111,0.043180892233261575,-0.004980816293478819,0.3666343867778778,0.04745628641190147,-0.0054736653742721375,9.094507535298666,1.1312194576745882,0.11435520778906343,-1.2890687425931295,0.11983478718547233,0.012034444230814833,-0.19829225863019626,0.11848518919700675,0.011829069281645434,-1.090776471296946,0.004256068544520711,0.00020537426792609223,1.090776471296946,0.004256068544520711,-0.00020537426792609223
18.210011464357375,1.0,1500.0,0.0,40.0,1926.0,0.3081354881787998,593.0,1333.0,9.714385935039017,3.7560986200238733,13688.478597219257,321.6,0.07122923588039867,35.00000000000002,9.480620155038762,10.95315740661122,129.0,35.1932584269663,9.568539325842698,10.863011949250707,89.0,35.00000000000002,9.480620155038762,10.95315740661122,129.0,0.42404141810042795,-0.025008937249904196,-0.027202931706961572,-0.005700352429723199,-0.050416462518373624,-0.24092764984483922,-0.04374518125265586,13.458578212215688,40.0,13500.0,8.0,140.97653126716614,95.76061971915031,3.6015067100524902,-12.595723152160645,-4.30562686920166,-1.3164081573486328,-2.9892189502716064,0.2169298231601715,0.2169298231601715,0.18674783408641815,12.245588302612305,-0.9633128643035889,0.11842682212591171,-1.0817396640777588,1.0817396640777588,,,,,1.8925458113352458,0.8689515800292604,0.0489879551400597,-11.994405810038248,0.6762360638051896,-0.05116381109490124,-3.862217990557353,0.26242654708400476,-0.02859645950648357,-1.2579095005989074,0.08950452797272349,-0.0026035765254324842,-2.6043084780375163,0.22527055766892842,-0.025992882211958813,0.26305101414521537,0.029097121760682722,-0.003358395777236642,0.26305101414521537,0.029097121760682722,-0.003358395777236642,0.2339259535074234,0.030257532731011724,-0.0034898450496597248,11.366463883717854,0.7345792313136557,0.057771545893888526,-1.0459189057350158,0.09162806860890213,0.00738774539366185,0.037200684162477654,0.08864464713283463,0.006918704289698496,-1.0831195950508117,0.008589909419926644,0.00046904023417644543,1.0831195950508117,0.008589909419926644,-0.00046904023417644543
24.624835632064126,1.0,1500.0,0.0,33.0,2033.0,0.2369136290712322,481.0,1552.0,9.747866641746386,3.1946717431106286,13603.917440361827,297.0,0.06219374293252921,34.856934306569364,9.054014598540144,10.993547658793318,137.0,35.25576923076923,9.21730769230769,10.846211565949435,104.0,34.856934306569364,9.054014598540144,10.993547658793318,137.0,0.43983150996710596,-0.023695727564440733,-0.023485683522671403,-0.005420201203489759,-0.05190261865793573,-0.22896890343698256,-0.040574005460025986,14.88077470764877,33.0,15000.0,9.0,153.18231344223022,97.92253206605972,3.3501477241516113,-13.674800872802734,-5.1948981285095215,-1.4475935697555542,-3.7473044395446777,0.14730459451675415,0.14730459451675415,0.11929155886173248,13.491125106811523,-0.8386228084564209,0.22408011555671692,-1.0627028942108154,1.0627028942108154,,,,,2.695517142613729,0.6567593412695488,0.031234701536388597,-11.998677444458007,0.8450138023948349,-0.016435960508692216,-4.760955476760865,0.2982716708708162,-0.030570062355151698,-1.376483796040217,0.15322982715748218,-0.005459596224966224,-3.384471623102824,0.22010772348181612,-0.025110468583324386,0.17855876584847769,0.01996704952727887,-0.002303845744509593,0.17855876584847769,0.01996704952727887,-0.002303845744509593,0.14936453128854435,0.019259561503409007,-0.002221372658935886,11.529545180002849,0.8921335763751672,0.024329195245354273,-0.890658809741338,0.08197289823869985,0.003400999009277738,0.18230237122625112,0.08397629674111429,0.002678761725314994,-1.072961183389028,0.018468791466301752,0.000722237741854367,1.072961183389028,0.018468791466301752,-0.000722237741854367
