episode_reward,episode_success,episode_length,episode_terminated,num_trajectories,scenario_total_flow_vph,scenario_cav_penetration,scenario_cav_flow_vph,scenario_hdv_flow_vph,avg_speed,avg_jerk,total_fuel_mL,tet_seconds,tet_rate,trip50_avg_time_s,trip50_avg_stop_time_s,trip50_avg_speed_mps,trip50_num_completed,trip50_hdv_avg_time_s,trip50_hdv_avg_stop_time_s,trip50_hdv_avg_speed_mps,trip50_hdv_num_completed,trip50_mix_avg_time_s,trip50_mix_avg_stop_time_s,trip50_mix_avg_speed_mps,trip50_mix_num_completed,r_speed_mean,r_accel_mean,r_jerk_mean,r_safety_mean,r_lc_mean,r_idle_mean,r_energy_mean,r_terminal_mean,num_terminals,step,episode,elapsed_time,steps_per_second,ppo_loss,ppo_policy_loss,ppo_value_loss,ppo_entropy,ppo_num_samples,ppo_num_trajectories,ppo_loss_mean,ppo_loss_std,ppo_loss_slope,ppo_policy_loss_mean,ppo_policy_loss_std,ppo_policy_loss_slope,ppo_value_loss_mean,ppo_value_loss_std,ppo_value_loss_slope,ppo_entropy_mean,ppo_entropy_std,ppo_entropy_slope,ppo_num_samples_mean,ppo_num_samples_std,ppo_num_samples_slope,ppo_num_trajectories_mean,ppo_num_trajectories_std,ppo_num_trajectories_slope
-13185.47369414568,0.0,1500.0,0.0,49.0,1942.0,0.9054173266933417,1758.0,184.0,2.197219464379444,9.002954803806983,1030.6579295776555,16.2,0.02094105480868666,154.72,118.28,3.818448887136192,5.0,89.60000000000001,57.6,5.425095209063944,3.0,154.72,118.28,3.818448887136192,5.0,-0.013131656785044417,-0.022594164419289645,-0.06055590937038082,-0.0019183043588219735,-0.05684423624676677,-0.4624773428120807,-0.0032534114804452746,0.09840460686726814,2.0,1500.0,0.0,44.75659728050232,33.51461217212456,,,,,,,,,,,,,,,,,,,,,,,,
-15583.688956260681,0.0,1500.0,0.0,30.0,2052.0,0.31864202907271094,653.0,1399.0,4.519527185920903,6.610469621552035,7119.611442028391,255.60000000000002,0.0739283854919882,75.1608695652174,33.00000000000001,6.1192189270497614,46.0,71.17333333333335,29.146666666666675,6.22514134468325,45.0,75.1608695652174,33.00000000000001,6.1192189270497614,46.0,-0.009132988889297635,-0.023585732054878746,-0.06085708685902972,-0.0013522786924204503,-0.053490269199387916,-0.45313289049450334,-0.003808456354074193,0.0859986179894833,1.0,3000.0,1.0,69.10781407356262,43.41043108101516,,,,,,,,,,,,,,,,,,,,,,,,
-4348.544347127278,0.0,1500.0,0.0,25.0,2044.0,0.26312945593648973,537.0,1507.0,4.902930307471271,6.82731367381066,8531.410084092799,275.0,0.07349011223944414,69.29629629629629,31.20370370370371,6.722911045673213,54.0,62.93333333333332,25.364705882352943,6.908206151261649,51.0,69.29629629629629,31.20370370370371,6.722911045673213,54.0,-0.003973171626978896,-0.023362192667660764,-0.060602533766633764,-0.0012384257754245137,-0.053788426763110915,-0.4426084990958409,-0.004362736826446517,1.2503442822570099,3.0,4500.0,2.0,90.95829939842224,49.47322047313977,,,,,,,,,,,,,,,,,,,,,,,,
-4289.432597517967,0.0,1500.0,0.0,42.0,2018.0,0.5101947975329254,1029.0,989.0,3.7896457415164435,8.464563594221687,4760.725466328305,145.0,0.062263826863620746,89.56923076923077,48.715384615384615,5.867307200180677,26.0,63.84761904761905,24.666666666666668,6.842079297705223,21.0,89.56923076923077,48.715384615384615,5.867307200180677,26.0,-0.005967237734660418,-0.023382120024478453,-0.06052503740313936,-0.0013808747843108528,-0.05429527394393767,-0.4484037362330963,-0.004063758318256878,0.1508362823784121,5.0,6000.0,3.0,120.96754145622253,49.6000822019795,,,,,,,,,,,,,,,,,,,,,,,,
-8628.13186009725,0.0,1500.0,0.0,46.0,2001.0,0.7771467107628444,1555.0,446.0,2.7061283880385574,8.130693953526833,1724.7562424081248,49.800000000000004,0.04404740845568725,125.62222222222223,86.71111111111112,5.3735774935517036,9.0,85.28571428571429,49.40000000000002,6.540056492077336,7.0,125.62222222222223,86.71111111111112,5.3735774935517036,9.0,-0.010766187130458509,-0.02301932510410488,-0.05990183544707295,-0.001832811228645442,-0.05572314000893043,-0.455164612447859,-0.003603772423549937,0.07673704032970369,3.0,7500.0,4.0,154.2448649406433,48.62398500518094,,,,,,,,,,,,,,,,,,,,,,,,
-15088.092288196087,0.0,1500.0,0.0,28.0,1933.0,0.35894378283200457,693.0,1240.0,5.867021707736875,6.385634342244292,4763.02813076703,200.4,0.11153161175422974,57.96129032258063,22.219354838709677,7.361652474320776,31.0,57.96129032258063,22.219354838709677,7.361652474320776,31.0,57.96129032258063,22.219354838709677,7.361652474320776,31.0,-0.016453223008867996,-0.02533399216642603,-0.060721995313472416,-0.0013953931228591957,-0.054865596999370624,-0.46653469472806836,-0.003496606305086803,0.0,0.0,9000.0,5.0,178.00151705741882,50.56136682867049,,,,,,,,,,,,,,,,,,,,,,,,
-8927.010788242022,0.0,1500.0,0.0,50.0,2084.0,0.8574924208726179,1787.0,297.0,1.9705676423103429,9.167243317071632,1346.9125519144982,19.400000000000002,0.01870059764796607,172.9,138.29999999999998,4.978085074411626,6.0,105.60000000000001,76.53333333333335,8.415213361020049,3.0,172.9,138.29999999999998,4.978085074411626,6.0,-0.012554282691034296,-0.025885667343862946,-0.06204273861276754,-0.0016503253691439413,-0.05667512749455981,-0.4610530237757027,-0.0037888415221549033,0.12334364955086498,3.0,10500.0,6.0,217.95124006271362,48.17591309404211,6.887240409851074,-0.06035280227661133,13.895689964294434,2.51708722114563,23994.0,28.0,6.887240409851074,0.0,0.0,-0.06035280227661133,0.0,0.0,13.895689964294434,0.0,0.0,2.51708722114563,0.0,0.0,23994.0,0.0,0.0,28.0,0.0,0.0
-1737.4489410479864,0.0,1500.0,0.0,61.0,2016.0,0.9385491590041329,1892.0,124.0,1.9519498818359178,10.400559256753795,4089.04976086142,69.2,0.022032603158430974,174.4888888888889,123.10000000000001,2.6319408100287145,18.0,90.93333333333334,50.79999999999999,5.774702619747551,3.0,174.4888888888889,123.10000000000001,2.6319408100287145,18.0,0.004726243782132619,-0.02747318836782449,-0.061030080411697066,-0.002214351833078919,-0.05367168055402749,-0.41854777621469536,-0.005906327569797069,0.21994438388012538,15.0,12000.0,7.0,262.2303583621979,45.761291998942994,11.3886079788208,-0.06815298646688461,22.914026260375977,2.522030830383301,42943.0,50.0,11.3886079788208,0.0,0.0,-0.06815298646688461,0.0,0.0,22.914026260375977,0.0,0.0,2.522030830383301,0.0,0.0,42943.0,0.0,0.0,50.0,0.0,0.0
-2305.117041905721,0.0,1500.0,0.0,36.0,1926.0,0.3081354881787998,593.0,1333.0,4.23508275548784,7.765760429785842,10966.578495895048,352.0,0.06449957855389013,80.25588235294119,32.66764705882352,6.031668374152549,68.0,75.3225806451613,27.722580645161287,6.216323287000704,62.0,80.25588235294119,32.66764705882352,6.031668374152549,68.0,0.01318051290428234,-0.029996591229117915,-0.06168345790481655,-0.001799356882305241,-0.05447708300519126,-0.4030162230272484,-0.0071586840810219715,1.4783989148053136,6.0,13500.0,8.0,296.8847236633301,45.472194841891294,30.553850173950195,0.029170285910367966,61.049861907958984,2.5107762813568115,46205.0,61.0,30.553850173950195,0.0,0.0,0.029170285910367966,0.0,0.0,61.049861907958984,0.0,0.0,2.5107762813568115,0.0,0.0,46205.0,0.0,0.0,61.0,0.0,0.0
-1103.596580886841,0.0,1500.0,0.0,33.0,2033.0,0.2369136290712322,481.0,1552.0,4.83202512916215,7.563883098110435,12509.226596562365,388.20000000000005,0.06812916812916812,70.34567901234568,28.01481481481482,6.830697882191786,81.0,59.59154929577465,18.030985915492963,7.292482323882954,71.0,70.34567901234568,28.01481481481482,6.830697882191786,81.0,0.024083916994081446,-0.029651623680026634,-0.059646623796753805,-0.0019314672016598367,-0.05518745360059455,-0.3819831106161841,-0.008336201294780365,1.2722235187177326,10.0,15000.0,9.0,326.24099040031433,45.97828121351102,19.651277542114258,0.1072240099310875,39.088626861572266,2.592543840408325,25396.0,36.0,19.651277542114258,0.0,0.0,0.1072240099310875,0.0,0.0,39.088626861572266,0.0,0.0,2.592543840408325,0.0,0.0,25396.0,0.0,0.0,36.0,0.0,0.0
